neuron,iou,feature_length,best lab,w_stick,w_hit,fire_rate
0,0.0,1,Null,0.013,0.024,0.0
1,0.0,1,Null,-0.008,-0.193,0.0
3,0.0,1,Null,0.014,0.046,0.0
8,0.0,1,Null,0.081,-0.006,0.0
4,0.0,1,Null,-0.006,0.007,0.0
10,0.0,1,Null,0.037,0.047,0.0
12,0.0,1,Null,0.08,0.001,0.0
13,0.0,1,Null,0.013,-0.003,0.0
7,0.0,1,Null,-0.157,0.163,0.0
5,0.0,1,Null,0.005,-0.127,0.0
6,0.0,1,Null,-0.019,-0.079,0.001
14,0.0,1,Null,0.008,0.211,0.0
15,0.0,1,Null,0.002,0.079,0.0
16,0.0,1,Null,0.012,0.104,0.0
19,0.0,1,Null,-0.259,-0.27,0.0
17,0.0,1,Null,-0.096,0.027,0.0
21,0.0,1,Null,-0.027,-0.165,0.0
18,0.0,1,Null,0.142,-0.182,0.0
24,0.0,1,Null,-0.203,-0.211,0.0
25,0.0,1,Null,-0.101,-0.078,0.0
26,0.0,1,Null,0.062,-0.029,0.0
27,0.0,1,Null,0.034,0.126,0.0
29,0.0,1,Null,-0.115,-0.353,0.006
30,0.0,1,Null,-0.022,-0.167,0.0
31,0.0,1,Null,0.001,0.033,0.0
32,0.0,1,Null,-0.591,0.154,0.011
33,0.0,1,Null,-0.715,0.099,0.0
28,0.467,5,((((P7 OR P8) OR P6) OR P9) OR P5),-0.354,-0.114,0.058
34,0.307,5,((((D4 OR D5) AND NoAce) OR P5) OR P4),-0.242,-0.062,0.061
36,0.0,1,Null,0.001,0.017,0.0
2,0.416,3,((P20 OR P21) OR P19),-0.208,-0.043,0.131
38,0.0,1,Null,0.005,0.0,0.0
39,0.0,1,Null,0.001,0.002,0.0
40,0.0,1,Null,-0.112,-0.058,0.043
41,0.0,1,Null,-0.005,0.007,0.0
42,0.0,1,Null,0.117,-0.047,0.0
43,0.0,1,Null,-0.021,0.006,0.0
44,0.0,1,Null,0.072,0.018,0.0
45,0.0,1,Null,0.069,-0.001,0.0
46,0.0,1,Null,-0.181,0.032,0.0
47,0.0,1,Null,-0.04,-0.169,0.0
20,0.897,5,((((P20 OR P21) OR P18) OR P19) OR P17),0.349,0.225,0.384
9,0.655,1,P21,-0.347,0.113,0.089
50,0.0,1,Null,0.01,-0.238,0.0
51,0.0,1,Null,-0.093,-0.208,0.0
52,0.0,1,Null,-0.002,0.003,0.0
53,0.0,1,Null,-0.203,0.429,0.0
54,0.0,1,Null,-0.152,-0.005,0.0
55,0.0,1,Null,-0.091,0.002,0.0
56,0.0,1,Null,-0.021,-0.099,0.0
23,0.42,6,((((D2 OR HasAce) OR D3) OR D4) AND (NOT P15)),0.047,0.255,0.162
58,0.0,1,Null,-0.063,0.043,0.0
11,0.294,5,((((NoAce OR P14) OR P13) OR P12) OR P15),0.5,-0.021,0.264
60,0.0,1,Null,-0.008,-0.005,0.0
61,0.0,1,Null,-0.002,0.095,0.0
62,0.0,1,Null,-0.06,-0.495,0.0
63,0.0,1,Null,-0.023,-0.399,0.0
35,0.699,5,((((P20 OR P21) OR P19) OR P18) OR P17),0.361,0.139,0.328
22,0.766,7,((((HasAce OR NoAce) AND (NOT P21)) AND (NOT P20)) OR D10),-0.287,-0.134,0.703
49,0.508,5,((((P10 OR P9) OR P11) OR P8) OR P7),-0.363,-0.854,0.079
57,0.575,5,((((P11 OR P9) OR P10) OR P8) OR P7),0.092,0.908,0.088
48,0.888,5,(((HasAce OR NoAce) AND (NOT P10)) OR D2),0.151,-0.266,0.863
37,0.527,7,((((D1 OR P9) AND (NOT P18)) AND (NOT P17)) OR P8),0.019,-0.121,0.081
59,0.406,5,((((HasAce OR P11) OR P9) OR P10) OR P12),0.134,0.183,0.191
