neuron,iou,feature_length,best lab,w_stick,w_hit,fire_rate
20,0.897,5,((((P20 OR P21) OR P18) OR P19) OR P17),0.349,0.225,0.384
48,0.888,5,(((HasAce OR NoAce) AND (NOT P10)) OR D2),0.151,-0.266,0.863
22,0.766,7,((((HasAce OR NoAce) AND (NOT P21)) AND (NOT P20)) OR D10),-0.287,-0.134,0.703
35,0.699,5,((((P20 OR P21) OR P19) OR P18) OR P17),0.361,0.139,0.328
9,0.655,1,P21,-0.347,0.113,0.089
57,0.575,5,((((P11 OR P9) OR P10) OR P8) OR P7),0.092,0.908,0.088
37,0.527,7,((((D1 OR P9) AND (NOT P18)) AND (NOT P17)) OR P8),0.019,-0.121,0.081
49,0.508,5,((((P10 OR P9) OR P11) OR P8) OR P7),-0.363,-0.854,0.079
28,0.467,5,((((P7 OR P8) OR P6) OR P9) OR P5),-0.354,-0.114,0.058
23,0.42,6,((((D2 OR HasAce) OR D3) OR D4) AND (NOT P15)),0.047,0.255,0.162
2,0.416,3,((P20 OR P21) OR P19),-0.208,-0.043,0.131
59,0.406,5,((((HasAce OR P11) OR P9) OR P10) OR P12),0.134,0.183,0.191
34,0.307,5,((((D4 OR D5) AND NoAce) OR P5) OR P4),-0.242,-0.062,0.061
11,0.294,5,((((NoAce OR P14) OR P13) OR P12) OR P15),0.5,-0.021,0.264
