neuron,iou,feature_length,best lab,w_stick,w_hit,fire_rate
0,0.0,1,Null,-0.095,0.016,0.0
1,0.0,1,Null,-0.111,0.219,0.0
2,0.0,1,Null,-0.098,-0.007,0.0
8,0.0,1,Null,-0.232,0.051,0.0
9,0.0,1,Null,-0.136,-0.084,0.0
3,0.0,1,Null,-0.05,-0.087,0.0
10,0.0,1,Null,0.081,-0.002,0.0
11,0.0,1,Null,-0.045,-0.064,0.0
12,0.0,1,Null,-0.109,-0.006,0.0
4,0.0,1,Null,-0.281,-0.158,0.036
5,0.0,1,Null,0.006,0.016,0.0
15,0.0,1,Null,-0.091,0.525,0.0
16,0.0,1,Null,0.025,-0.196,0.0
7,0.0,1,Null,0.054,-0.005,0.0
20,0.0,1,Null,-0.101,-0.004,0.0
18,0.0,1,Null,-0.236,0.475,0.0
23,0.0,1,Null,-0.049,-0.137,0.0
21,0.0,1,Null,0.016,0.155,0.0
24,0.0,1,Null,0.003,0.001,0.0
25,0.0,1,Null,-0.039,0.323,0.0
26,0.0,1,Null,0.015,0.005,0.0
27,0.0,1,Null,-0.005,-0.011,0.0
29,0.0,1,Null,-0.048,-0.218,0.0
30,0.8,6,((((P20 OR P21) OR P19) AND (NOT D10)) OR P21),-0.222,-0.079,0.154
31,0.0,1,Null,-0.005,-0.108,0.0
32,0.0,1,Null,-0.088,0.35,0.0
33,0.0,1,Null,-0.003,0.006,0.0
14,0.704,4,(((P20 OR P21) OR P19) OR P18),0.273,0.124,0.285
35,0.0,1,Null,-0.003,0.017,0.0
36,0.0,1,Null,0.022,0.125,0.0
37,0.0,1,Null,-0.098,0.001,0.0
28,0.918,5,((((P18 OR P20) OR P19) OR P17) OR P21),0.371,0.157,0.437
39,0.0,1,Null,-0.001,-0.002,0.0
40,0.0,1,Null,-0.037,-0.128,0.0
22,0.57,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.069,-0.462,0.092
13,0.788,5,((((P10 OR P9) OR P8) OR P7) OR P6),-0.811,-0.352,0.129
43,0.0,1,Null,-0.001,0.013,0.0
6,0.893,8,((((HasAce OR NoAce) AND (NOT P9)) AND (NOT P10)) AND (NOT P11)),0.078,-0.189,0.845
45,0.0,1,Null,0.037,0.273,0.0
46,0.0,1,Null,-0.765,-0.085,0.0
47,0.0,1,Null,-0.023,0.277,0.0
38,0.545,6,((((P18 OR P20) OR P19) OR P17) AND (NOT HasAce)),0.091,-0.389,0.217
49,0.0,1,Null,-0.141,-0.129,0.0
50,0.0,1,Null,0.0,-0.002,0.0
51,0.0,1,Null,-0.04,0.107,0.0
52,0.0,1,Null,-0.035,-0.084,0.0
17,0.893,4,(((D10 OR D9) OR D8) OR D7),-0.195,-0.083,0.585
54,0.0,1,Null,-0.007,0.03,0.0
55,0.0,1,Null,0.008,0.004,0.0
56,0.0,1,Null,-0.369,0.277,0.019
57,0.0,1,Null,-0.052,0.047,0.0
58,0.0,1,Null,0.1,-0.049,0.0
59,0.0,1,Null,0.075,-0.092,0.0
34,0.517,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.344,0.308,0.106
61,0.0,1,Null,-0.039,0.083,0.0
42,0.589,7,(((((NOT D6) AND P11) OR P10) OR P9) AND (NOT D5)),-0.001,0.195,0.064
19,0.614,5,((((HasAce OR P9) OR P10) OR P11) OR P7),0.037,0.158,0.224
60,0.6,5,((((NOT HasAce) AND P20) OR P21) AND D10),-0.148,-0.268,0.095
41,0.404,5,((((P10 OR P11) OR P9) OR P7) OR P8),-0.051,0.19,0.126
53,0.838,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.163,0.405,0.15
62,0.389,6,((((D5 OR D6) OR D7) AND (NOT HasAce)) OR D4),0.245,0.22,0.118
48,0.362,6,((((NOT D8) AND (NoAce OR P15)) OR P14) OR P13),0.298,-0.051,0.32
44,0.701,5,((((D10 OR D9) OR D8) OR D7) OR D6),-0.164,0.044,0.518
63,0.643,5,((((D1 OR D2) OR D3) OR D4) OR D5),-0.27,-0.061,0.299
