neuron,iou,feature_length,best lab,w_stick,w_hit,fire_rate
28,0.918,5,((((P18 OR P20) OR P19) OR P17) OR P21),0.371,0.157,0.437
6,0.893,8,((((HasAce OR NoAce) AND (NOT P9)) AND (NOT P10)) AND (NOT P11)),0.078,-0.189,0.845
17,0.893,4,(((D10 OR D9) OR D8) OR D7),-0.195,-0.083,0.585
53,0.838,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.163,0.405,0.15
30,0.8,6,((((P20 OR P21) OR P19) AND (NOT D10)) OR P21),-0.222,-0.079,0.154
13,0.788,5,((((P10 OR P9) OR P8) OR P7) OR P6),-0.811,-0.352,0.129
14,0.704,4,(((P20 OR P21) OR P19) OR P18),0.273,0.124,0.285
44,0.701,5,((((D10 OR D9) OR D8) OR D7) OR D6),-0.164,0.044,0.518
63,0.643,5,((((D1 OR D2) OR D3) OR D4) OR D5),-0.27,-0.061,0.299
19,0.614,5,((((HasAce OR P9) OR P10) OR P11) OR P7),0.037,0.158,0.224
60,0.6,5,((((NOT HasAce) AND P20) OR P21) AND D10),-0.148,-0.268,0.095
42,0.589,7,(((((NOT D6) AND P11) OR P10) OR P9) AND (NOT D5)),-0.001,0.195,0.064
22,0.57,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.069,-0.462,0.092
38,0.545,6,((((P18 OR P20) OR P19) OR P17) AND (NOT HasAce)),0.091,-0.389,0.217
34,0.517,5,((((P10 OR P11) OR P9) OR P8) OR P7),-0.344,0.308,0.106
41,0.404,5,((((P10 OR P11) OR P9) OR P7) OR P8),-0.051,0.19,0.126
62,0.389,6,((((D5 OR D6) OR D7) AND (NOT HasAce)) OR D4),0.245,0.22,0.118
48,0.362,6,((((NOT D8) AND (NoAce OR P15)) OR P14) OR P13),0.298,-0.051,0.32
