neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right,fire_rate
6,1.0,4,(((AV1 OR Vx3) OR Vx4) OR A2),0.545,1.657,0.774,0.554,1.0
58,1.0,4,(((AV1 OR Vx3) OR Vx4) OR A2),0.978,-0.136,0.872,0.137,1.0
11,1.0,4,(((AV1 OR Vx3) OR Vx4) OR A2),1.755,0.648,0.967,1.57,1.0
41,0.999,6,((((AV1 OR Vx3) AND (NOT RLeg)) OR Vx4) OR Y4),-0.446,2.027,1.372,1.387,0.664
54,0.997,4,(((AV1 OR Vx3) OR Vx4) OR A2),-0.254,-0.075,1.096,0.091,0.997
33,0.991,7,((((AV1 OR Vx3) AND (NOT LLeg)) AND (NOT RLeg)) OR Vx4),-1.172,-0.84,-1.233,-0.564,0.624
62,0.99,6,((((AV1 OR Vx3) AND (NOT RLeg)) OR Vx4) OR Y4),-0.517,-0.739,-1.415,-0.446,0.662
7,0.989,7,((((AV1 OR Vx3) AND (NOT LLeg)) AND (NOT RLeg)) OR Vx4),-0.958,-0.994,-1.002,-0.226,0.625
30,0.989,7,((((AV1 OR Vx3) AND (NOT LLeg)) AND (NOT RLeg)) OR Vx4),-0.959,-0.874,-0.586,-0.523,0.626
18,0.988,7,((((AV1 OR Vx3) AND (NOT RLeg)) AND (NOT LLeg)) OR Vx4),-0.469,-0.869,-1.279,-0.884,0.627
38,0.985,7,((((AV1 OR Vx3) AND (NOT LLeg)) AND (NOT RLeg)) OR Vx4),-1.844,-0.502,-1.797,-1.259,0.62
19,0.984,2,(LLeg OR RLeg),-1.596,0.433,0.165,1.271,0.374
17,0.971,7,((((AV1 OR Vx3) AND (NOT RLeg)) OR Vx4) AND (NOT LLeg)),-0.229,-0.784,-1.754,-0.407,0.638
22,0.966,6,(((((NOT RLeg) AND Vx3) OR Vx4) OR Vx2) OR Vx1),-0.629,-1.093,-0.807,-0.546,0.65
43,0.965,5,((((AV1 OR Vx3) OR Vx4) OR Y4) OR LLeg),3.003,1.606,1.088,1.361,0.965
1,0.956,6,((((AV1 OR Vx3) AND (NOT LLeg)) OR AV4) OR Vx4),-1.376,1.22,0.904,0.135,0.67
32,0.946,4,(((A2 OR Vx3) OR Y3) OR A1),-2.313,-0.152,-1.524,-0.7,0.945
8,0.922,5,((((Vy3 OR X3) OR X4) OR Y4) OR Vx4),0.32,-0.068,-0.48,-0.889,0.841
42,0.919,4,(((A2 OR Vx3) OR Y3) OR A1),2.102,0.522,1.715,1.218,0.919
39,0.906,4,(((AV1 OR Vx3) OR Vx4) OR A2),-1.603,0.283,-1.163,-0.904,0.906
36,0.884,5,((((LLeg OR X4) OR X3) OR Y4) OR RLeg),0.196,-0.12,-0.667,-1.164,0.632
2,0.873,7,((((AV1 OR Vx3) AND (NOT LLeg)) AND (NOT RLeg)) OR Vx4),-1.141,-0.753,-1.291,-1.529,0.552
50,0.868,5,((((Y2 OR Y3) OR Y4) OR X4) OR Vx2),2.428,0.375,2.196,1.129,0.397
15,0.854,6,((((AV1 OR Vx3) AND (NOT RLeg)) OR AV4) OR AV3),-0.745,-1.581,-0.373,-0.91,0.716
0,0.848,8,(((((NOT AV4) AND Y1) OR A1) AND (NOT A4)) AND (NOT Vy1)),-1.049,0.734,1.598,0.53,0.675
9,0.84,4,((LLeg OR X1) AND (NOT Y4)),-0.215,-2.126,0.71,-1.798,0.517
20,0.834,7,((((LLeg AND RLeg) AND (NOT X1)) AND (NOT AV4)) AND Vy3),-2.487,-1.382,0.298,-0.84,0.269
29,0.825,5,((((LLeg OR X4) OR RLeg) OR X3) AND Y1),2.063,2.003,1.813,2.428,0.544
48,0.797,6,((((X4 OR Y4) OR Y3) AND (NOT A1)) OR Y4),-0.739,-0.364,-0.76,-1.0,0.276
37,0.785,6,(((NOT A4) AND (RLeg AND X3)) AND (NOT A3)),-3.093,-1.071,-1.31,-1.674,0.235
16,0.763,7,((((NOT Vy1) AND (Y3 OR Y4)) OR Vy4) AND (NOT Y1)),-1.122,-1.051,-0.398,-0.557,0.132
52,0.76,6,((((X3 OR X4) AND Vy3) OR LLeg) AND (NOT Y3)),-2.162,-0.31,-1.618,-2.617,0.458
10,0.757,6,((((X3 OR X4) OR Y4) OR LLeg) AND (NOT Vy1)),-0.821,-0.657,-0.682,-0.396,0.493
28,0.748,8,(((((NOT RLeg) AND Vx3) AND (NOT A1)) AND (NOT LLeg)) OR Vx4),-2.015,-0.804,-1.313,-1.256,0.412
34,0.747,7,((((NOT Vy1) AND (Y3 OR Y4)) AND (NOT A3)) OR Vy4),-0.043,-0.75,-0.737,-1.634,0.105
4,0.742,5,((((AV1 OR Vx3) OR Vx4) OR Y4) OR RLeg),0.915,-0.915,-1.497,-1.138,0.742
53,0.725,5,((((Vy3 OR Y3) OR Y4) OR AV4) OR X3),-0.382,0.062,-0.52,-1.552,0.692
12,0.692,6,((((AV1 OR Vx3) AND (NOT RLeg)) OR AV4) OR Vx4),-1.342,-1.392,-0.293,-0.282,0.497
31,0.69,8,(((((NOT LLeg) AND Vx3) AND (NOT X1)) OR AV4) AND (NOT RLeg)),-0.902,-0.627,-0.478,-0.371,0.379
5,0.637,7,((((NOT A1) AND (Vy1 OR X4)) AND (NOT Vx4)) OR X4),-2.389,2.231,1.438,1.654,0.214
63,0.613,6,(((((NOT X3) AND Vx3) OR Y3) OR Y4) OR Y2),-1.253,-1.045,0.275,-0.118,0.517
49,0.589,6,((((A3 OR A4) OR Vx4) AND (NOT RLeg)) OR X4),-1.836,-0.375,-1.237,-1.431,0.22
56,0.586,6,((((NOT AV4) AND X4) AND Vy3) AND (NOT Y3)),-1.801,-2.133,-1.616,-2.626,0.07
21,0.462,7,((((AV3 OR AV4) OR Y4) AND (NOT X1)) AND (NOT Y1)),-1.744,-1.328,-0.458,-0.844,0.183
27,0.461,6,(((NOT AV3) AND (X4 AND Y1)) AND (NOT AV4)),-2.454,-1.391,-0.914,-2.076,0.063
