neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
2,0.0,1,Null,-0.016851693,0.05741177,-0.046688672,-0.08582254
8,0.0,1,Null,0.1424656,0.074977525,0.075979605,-0.22488658
1,0.0,1,Null,0.008502955,-0.0025190325,0.015920185,-0.030482234
9,0.0,1,Null,-0.04526619,0.05791768,0.05368181,-0.037462357
0,0.0,1,Null,0.019005993,2.2893095e-05,-0.009799555,-0.003693782
10,0.0,1,Null,-0.010547457,0.013248225,0.0030816363,0.0016452507
11,0.0,1,Null,-0.08285186,0.13859351,0.14279887,-0.148243
4,0.0,1,Null,0.17668809,-0.121489294,-0.058364242,0.17389938
12,0.0,1,Null,0.085666984,0.02562447,0.31072834,-0.27479208
13,0.0,1,Null,0.00958996,0.05024508,-0.08769084,0.030862387
3,0.0,1,Null,0.016941225,0.012289003,0.018277163,-0.023523103
14,0.0,1,Null,0.1480946,0.1441535,0.22118254,-0.2719933
5,0.0,1,Null,0.009710248,-0.30981478,0.4494944,-0.09669004
16,0.0,1,Null,0.07735852,-0.002009887,-0.00052835525,0.018746221
19,0.0,1,Null,-0.020477902,0.029355135,0.21871911,-0.093705945
17,0.0,1,Null,0.00069895945,0.017641697,-0.0070909304,-0.011192267
15,0.0,1,Null,0.031034239,-0.006461276,-0.04994934,0.034399092
6,0.0,1,Null,0.012501262,0.0010998633,0.021684768,0.03217883
22,0.0,1,Null,-0.016704686,-0.17882048,0.12461371,0.13336235
18,0.0,1,Null,0.29321316,-0.2286553,-0.22123708,0.31025818
20,0.0,1,Null,-0.11192069,-0.20015715,0.33553725,0.10785011
21,0.0,1,Null,-0.017599544,-0.13240375,-0.043202776,0.12050336
23,0.0,1,Null,-0.08851426,0.006301596,0.2576875,0.057135176
25,0.0,1,Null,-0.0027591665,-0.013450747,0.023098482,0.000865252
7,0.0,1,Null,-0.02363835,-0.00055026874,0.00028204417,0.013508251
26,0.0,1,Null,-0.03629057,-0.07145644,0.010159319,0.03304596
27,0.0,1,Null,0.06269402,-0.01640338,-0.023570197,-0.050929923
28,0.0,1,Null,-0.011066821,0.00454125,-0.00014580213,0.021999212
31,0.0,1,Null,-0.0090858,-0.008297456,-0.016764147,0.03810897
30,0.0,1,Null,0.0063372636,0.0046389895,0.0125891995,0.0022132408
33,0.0,1,Null,-0.024909293,-0.023678951,0.021961223,-0.01172266
32,0.0,1,Null,-0.047427423,-0.005878251,0.00502448,0.0032552176
35,0.0,1,Null,0.2691443,-0.20468082,-0.28837293,0.24601972
38,0.0,1,Null,0.04402856,0.05594074,-0.092200175,0.031486105
34,0.0,1,Null,0.004253221,-0.016424853,-0.017756607,0.00920991
39,0.0,1,Null,0.37592036,0.24245298,-0.3760676,-0.24137467
36,0.0,1,Null,0.00025317926,-0.009972672,-0.023431776,0.004106961
37,0.0,1,Null,0.194444,0.021884074,-0.47732642,0.4710594
41,0.0,1,Null,-0.0003292513,-0.01392418,0.063948534,0.04123443
40,0.0,1,Null,-0.010541942,-0.029769901,0.025741136,0.0015250891
43,0.0,1,Null,-0.02641341,0.21085791,-0.161222,0.03719092
42,0.0,1,Null,0.004121718,-0.016622458,-0.028708914,-0.02099895
44,0.0,1,Null,0.01258185,-0.012089148,-0.03224299,-0.022798896
46,0.0,1,Null,0.06554952,-0.0194032,0.0048895655,-0.02445621
48,0.0,1,Null,0.003857374,0.012665428,-0.027268885,0.01475841
47,0.0,1,Null,-0.0064181453,0.0028953352,0.004146181,-0.021659425
49,0.0,1,Null,0.0029719851,-0.0012211235,-0.000802641,0.0034790002
51,0.0,1,Null,-0.009308225,-0.017248362,-0.008018724,0.005920696
50,0.0,1,Null,-0.02140693,-0.022231143,0.018906066,0.012743872
52,0.0,1,Null,0.19673336,0.105424985,-0.35623705,0.057534326
53,0.0,1,Null,0.01704718,0.00960488,-0.03128243,-0.012561668
55,0.0,1,Null,0.021964049,0.037651338,-0.09477328,0.07052557
56,0.0,1,Null,-0.007307522,0.026725698,0.018107057,0.02198199
54,0.0,1,Null,-0.072317064,0.08643883,0.073961474,-0.07902616
