neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
143,1.0,4,(((A3 OR Vx1) OR Vx5) OR Vy1),0.019698663,-0.004953658,0.019544639,0.010211429
986,0.9947984395318596,4,(((A3 OR Vx1) OR A4) OR Y1),0.2645894,-0.08905283,-0.14958431,0.24582347
29,0.9914,4,(((A3 OR Vx1) OR Vx5) OR Vy1),0.027367262,0.022264041,0.051423285,0.020505683
266,0.9842115848753016,6,((((A3 OR Vx1) OR X4) AND (NOT Vx6)) OR Vy5),0.0039356453,0.022560459,-0.015288826,-0.020491417
288,0.9783397138827322,5,((((Vx1 OR Y7) OR Vx5) OR Y2) OR Vy5),0.025037622,-0.06357892,0.053106155,0.041434456
1002,0.9734852303659643,4,(((A3 OR Vx1) OR RLeg) OR A2),0.16097532,0.05516658,-0.1918268,-0.051066905
1007,0.9695400548279012,5,((((A3 OR AV3) OR A4) OR AV4) OR X5),0.104875065,-0.03739813,-0.40760165,0.2723025
415,0.9516,4,(((A3 OR Vx1) OR Vx5) OR Vy1),-0.17432491,0.19211861,0.0016265629,0.024776721
777,0.934266433391652,6,(((((NOT LLeg) AND AV3) OR AV4) OR X5) OR Vx2),-0.004037973,-0.07263283,0.04925654,0.023244768
652,0.914466480107069,6,((((AV3 OR AV4) AND (NOT LLeg)) OR Vx5) OR A4),-0.056452673,-0.10544034,0.098929375,0.05966646
110,0.912658358224328,5,((((A3 OR A4) OR X5) OR Y4) OR AV4),0.0015736247,-0.14729899,0.057059415,0.098471485
109,0.9117342715231788,5,((((A3 OR A4) OR X5) OR Y4) OR RLeg),0.046217643,-0.68863523,0.18448631,0.3123336
316,0.90233218894282,6,(((((NOT LLeg) AND Vx1) OR Vy2) OR Vx5) OR AV2),-0.088033855,-0.06384142,0.14097175,-0.0031266944
583,0.8924951477248221,6,((((A3 OR Vy1) AND (NOT X4)) OR Y1) OR Vx5),0.02797846,-0.027799668,-0.016825262,-0.0018869408
903,0.8893943021307158,6,((((A3 OR AV3) AND (NOT LLeg)) OR A4) OR Vx5),0.19172496,-0.3149358,-0.078731924,0.2862867
623,0.8733630738235717,5,((((Y1 OR Y2) OR X4) OR X6) OR Vy5),0.09671927,-0.025991166,-0.051845435,0.025749397
302,0.8654158397979433,7,((((Y1 OR Y2) OR AV2) AND (NOT A2)) AND (NOT Vx2)),0.28758878,0.19379257,-0.25354928,-0.27144465
279,0.8615450766805217,7,(((((NOT Y7) AND A3) OR Y1) AND (NOT AV2)) OR RLeg),0.20324802,-0.003514433,0.17271154,-0.06590183
718,0.859260181840827,7,(((((NOT RLeg) AND Vx1) OR Y7) AND (NOT A2)) OR X5),-0.1513725,0.20479837,-0.06271667,0.3432757
673,0.8503136762860728,6,((((A3 OR X1) AND (NOT LLeg)) OR X3) OR X5),-0.048535712,0.00010953386,0.06120608,-0.015694093
406,0.8501329787234042,7,(((((NOT Y1) AND AV3) OR X1) AND (NOT LLeg)) OR X3),-0.32192037,0.02519478,0.11672783,0.24759717
236,0.8491032776747063,7,((((NOT X3) AND LLeg) AND (NOT X6)) AND (NOT AV2)),0.08687392,-0.08348983,-0.025690144,-0.07423342
902,0.833872271624899,7,(((((NOT LLeg) AND A3) AND (NOT AV2)) OR Y3) OR Y4),-0.15078688,0.0060748206,0.41630557,-0.4334603
468,0.8244501278772378,5,((((A3 OR A4) OR AV3) OR X6) OR Vx5),0.061411772,-0.15881833,0.007547528,0.073424965
237,0.8173569101907864,7,((((NOT AV4) AND (Vx1 OR Vx5)) OR LLeg) AND (NOT A2)),0.24664687,-0.033085342,-0.24122943,0.28999335
