neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
0,0.0,1,Null,-0.019777905,0.023378348,0.020166853,0.00727618
1,0.0,1,Null,0.01914543,0.0038816335,0.026853483,0.011421718
2,0.0,1,Null,-0.019137423,-0.0026447305,-0.020908028,-0.02015768
3,0.0,1,Null,-0.05390188,-0.076450825,-0.022076469,-0.018260542
4,0.0,1,Null,-0.03718593,-0.063898325,-0.0012436156,-0.034000993
5,0.0,1,Null,0.0038441098,0.013804841,0.012770114,0.023647813
6,0.0,1,Null,0.007075801,0.008324558,0.014195619,0.026402373
7,0.0,1,Null,-0.114062674,0.009880781,-0.0004127625,-0.008356716
8,0.0,1,Null,0.03184366,0.09650551,0.058071125,-0.008500381
9,0.0,1,Null,-0.10859356,0.06492609,0.04641608,0.029312937
10,0.0,1,Null,0.0023396374,0.0033968508,-0.0018079971,0.0034831057
11,0.0,1,Null,0.23486547,0.016234864,0.14464097,0.08311444
12,0.0,1,Null,-0.036835056,-0.014070761,-0.023596233,-0.07022547
13,0.0,1,Null,0.007663116,-0.0005689651,0.0044603646,-0.02120468
15,0.0,1,Null,0.017931277,0.016771765,-0.0007681665,0.027958676
16,0.0,1,Null,0.027906626,0.020405246,0.036220357,0.08995841
17,0.0,1,Null,0.019044876,-0.017288279,-0.011018061,0.023208583
18,0.0,1,Null,-0.0115728965,-0.03348333,0.002672287,-0.051481128
20,0.0,1,Null,0.00265925,-0.08196259,-0.033688553,-0.010672006
22,0.0,1,Null,0.014457285,-0.041511722,0.01252812,0.009725234
21,0.0,1,Null,-0.0072469246,-0.010929742,-0.007376475,0.018645568
24,0.0,1,Null,0.017660199,0.013340881,-0.002503075,0.018219415
25,0.0,1,Null,0.0003224481,0.010147311,0.0038464942,0.018651875
26,0.0,1,Null,-0.03251075,-0.017886901,0.029310925,-0.089575306
27,0.0,1,Null,-0.052346177,0.033371646,-0.02603083,0.028031401
28,0.0,1,Null,0.015267772,0.024207702,0.010308986,0.020703183
29,0.0,1,Null,0.052988563,-0.0017727982,0.018272938,0.0073649767
30,0.0,1,Null,-0.05934971,-0.084201664,-0.06503548,-0.017587494
31,0.0,1,Null,0.08536516,-0.021215908,-0.07487592,0.017166078
32,0.0,1,Null,-0.022193076,-0.017689617,0.0157041,0.011342433
34,0.0,1,Null,0.006550249,-0.034035668,-0.012676694,0.018126447
35,0.0,1,Null,-0.01708803,-0.06551661,-0.043235946,-0.026483981
36,0.0,1,Null,-0.06306785,-0.052501954,-0.011472984,-0.054770008
33,0.0,1,Null,0.02458095,0.012749742,0.013934571,0.029683392
38,0.0,1,Null,-0.049327362,-0.0946567,-0.1599774,-0.051877458
40,0.0,1,Null,-0.09835095,-0.19368394,-0.12955321,-0.09382441
41,0.0,1,Null,-0.01887006,0.009972738,0.020746354,0.0023693603
42,0.0,1,Null,0.014266013,-0.0340918,-0.004587526,0.021807466
43,0.0,1,Null,0.018415546,-0.030087026,0.009728233,-0.022694478
44,0.0,1,Null,0.02363238,-0.0022844884,0.0030442078,-0.033201035
45,0.0,1,Null,0.019525886,-0.018385105,0.011335528,0.024528679
46,0.0,1,Null,0.018622389,7.4528434e-05,0.028054016,-0.019579476
47,0.0,1,Null,-0.049507,-0.046969593,-0.015754629,-0.074592106
48,0.0,1,Null,-0.007211023,0.021080565,-0.008599903,0.023526236
49,0.0,1,Null,-0.059646826,-0.2342517,0.0836241,0.03259538
50,0.0,1,Null,-0.02476941,-0.014900391,-0.0040085646,-0.013891553
51,0.0,1,Null,-0.021979537,-0.43215173,-0.12940882,-0.550742
52,0.0,1,Null,0.022347283,0.02453839,0.0013658808,-0.0017442885
53,0.0,1,Null,-0.15656555,-0.37159505,-0.07124942,-0.35081312
54,0.0,1,Null,-0.14314546,-0.007096437,-0.12503856,-0.04424533
55,0.0,1,Null,-0.0066802795,0.024325563,0.029355519,-0.013275141
56,0.0,1,Null,-0.01741124,-0.008020441,-0.008365286,-0.011235579
58,0.0,1,Null,0.015965361,0.0029369756,-0.02641231,0.011295438
59,0.0,1,Null,0.009771164,0.023179358,0.0044366973,-0.010987257
60,0.0,1,Null,4.2635947e-05,-0.0039043725,-0.030392848,-0.0014454859
61,0.0,1,Null,0.020545335,0.002491811,-0.018734839,0.029226921
62,0.0,1,Null,0.012528576,0.0032155784,0.015260465,-0.0037858249
63,0.0,1,Null,-0.02363401,-0.04939731,3.242197e-05,-0.017148413
37,0.6353074883192322,6,(((((NOT V_y High) AND Y Coord Near Ground) OR V_x High) OR Angular Velocity High) OR V_y Upward),-0.60369706,-0.111600175,-0.30910534,-0.3663193
39,0.6552280055274067,6,((((Angular Velocity High OR Left Leg reach ground) OR V_y Upward) AND (NOT Y Coord Far From Ground)) OR Right Leg reach ground),0.055829752,0.09013543,-0.4202213,0.056820493
66,0.0,1,Null,0.01250666,0.024965124,-0.016538449,0.01638237
68,0.0,1,Null,-0.46918893,-0.27870655,-0.6050277,-0.39556617
67,0.0,1,Null,0.107409425,0.034180813,-0.06825127,0.026010776
69,0.0,1,Null,-0.015182191,0.014226208,-0.01863851,0.018962
70,0.0,1,Null,-0.100416765,-0.23986304,-0.005217768,-0.03518551
72,0.0,1,Null,0.012507212,-0.01304988,0.017410688,-0.020457704
73,0.0,1,Null,-0.04227644,-0.0643795,-0.0236811,-0.018079642
74,0.0,1,Null,-0.2412781,-0.35798365,-0.21853484,-0.40062568
75,0.0,1,Null,0.004849433,0.003913228,0.017191695,0.01833514
76,0.0,1,Null,-0.13482471,-0.2472278,-0.16674055,-0.053421002
77,0.0,1,Null,0.11947599,-0.03723505,-0.11518804,0.054737505
78,0.0,1,Null,-0.28399354,-0.36589503,-0.3693792,-0.24951527
79,0.0,1,Null,-0.009397466,0.02057504,0.012675688,-0.036847346
80,0.0,1,Null,-0.04186834,0.021705868,0.017933473,0.035954885
81,0.0,1,Null,-0.52050245,-0.6077747,-0.52419317,-0.2971169
82,0.0,1,Null,-0.006068425,-0.051751003,-0.026882488,-0.0018391097
83,0.0,1,Null,0.0113419965,0.0030233376,-0.01835958,0.016226392
84,0.0,1,Null,0.0037708143,0.02483411,-0.01839937,0.024936102
85,0.0,1,Null,0.00569762,-0.016928691,0.011222448,0.008036243
14,0.8232203564438034,3,((Angular Velocity Low OR X Coord In Center) OR Y Coord Far From Ground),0.371195,0.2562843,0.563142,0.41000473
19,0.8649075003585257,4,((NOT V_y High) AND (V_y Upward OR Y Coord Near Ground)),0.41633222,0.4869934,0.48829874,0.6171194
87,0.0,1,Null,-0.013576893,-0.015794953,-0.029720051,-0.006956023
89,0.0,1,Null,-0.017588409,-0.055774465,-0.004764613,-0.02233614
88,0.0,1,Null,0.03139084,-0.008181863,0.016695272,-0.033557698
90,0.0,1,Null,-0.0030470556,-0.009260623,0.0076166783,0.011286849
91,0.0,1,Null,0.0013128372,0.002265044,-4.249567e-05,0.021391893
92,0.0,1,Null,0.0041184947,0.0075732935,0.010678545,0.024456613
93,0.0,1,Null,0.01511172,0.02299611,-0.031499255,0.0026520803
94,0.0,1,Null,0.008487477,-0.017725011,0.0035581614,0.010590005
95,0.0,1,Null,0.048943836,-0.06508675,0.010988093,0.03879504
96,0.0,1,Null,-0.104588255,-0.014777856,-0.05607623,-0.025831895
98,0.0,1,Null,-0.046895474,0.0020661852,0.07125532,-0.011266881
99,0.0,1,Null,-0.10201637,0.01703908,0.014972557,-0.086174704
100,0.0,1,Null,0.20900849,0.13353671,0.31114137,-0.0020661112
101,0.0,1,Null,0.012373928,0.011565592,0.0047911885,-0.017681673
102,0.0,1,Null,0.013627246,-0.03533054,-0.03382782,-0.011776987
