neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
650,0.9849,2,(V_x High OR V_x Low),0.35638407,0.2927449,0.3249912,0.30121782
980,0.9847,2,(V_x High OR V_x Low),0.29283813,0.2438895,0.3255503,0.262636
708,0.9742,2,(V_x High OR V_x Low),0.28560665,0.33030507,0.32466176,0.19106029
152,0.9738450746567792,5,((((Angular Velocity Low OR V_x Low) OR X Coord In Center) OR V_y Upward) OR Y Coord Far From Ground),0.24899158,0.43348384,0.38255703,0.36101323
65,0.9727084292952556,5,(((Angle Near 0 OR Large Angle) AND (NOT Left Leg reach ground)) OR Angular Velocity High),0.43511447,0.42771816,0.3903238,0.43346393
221,0.9717,2,(Angle Near 0 OR Large Angle),0.34566304,0.41885468,0.56184417,0.39847374
396,0.97121387283237,5,(((Angle Near 0 OR Large Angle) AND (NOT Left Leg reach ground)) OR Angular Velocity High),0.5242326,0.4672249,0.5084761,0.3244506
126,0.9712,2,(Angle Near 0 OR Large Angle),0.34951437,0.31892836,0.47221434,0.39577025
758,0.9681,2,(Angle Near 0 OR Large Angle),0.4072504,0.5415883,0.45584497,0.41315788
367,0.9646561272782196,5,((((V_x Low OR X Coord In Center) OR V_y High) OR V_y Upward) OR Large Angle),0.477482,0.50454766,0.56693554,0.58925265
240,0.9623600046184044,5,(((Angle Near 0 OR Large Angle) AND (NOT Left Leg reach ground)) OR Angular Velocity High),0.4867106,0.48850355,0.3267977,0.54179895
975,0.958,2,(Angle Near 0 OR Large Angle),0.3993738,0.46299192,0.41435742,0.4390607
616,0.9563,2,(V_x High OR V_x Low),0.30465904,0.3152973,0.3777878,0.302373
661,0.9543,2,(Angle Near 0 OR Large Angle),0.31687126,0.396415,0.40668714,0.38661215
596,0.9519,2,(Angle Near 0 OR Large Angle),0.4630256,0.5159702,0.17150104,0.541833
575,0.9511,2,(V_x High OR V_x Low),0.27089238,0.3507948,0.2810779,0.129464
374,0.9456156431408492,5,((((Angular Velocity Low OR X Coord In Center) OR Right Leg reach ground) OR Y Coord Far From Ground) OR Left Leg reach ground),0.18740603,-0.013502449,0.09497424,-0.10145297
515,0.943791753052292,5,(((Angle Near 0 OR Large Angle) AND (NOT Left Leg reach ground)) OR Angular Velocity High),0.49091977,0.41853648,0.4773674,0.4797735
257,0.93823391263504,4,((NOT Left Leg reach ground) AND (V_x High OR V_x Low)),0.54650843,0.49897748,0.47175652,0.44787952
381,0.9267,2,(Angle Near 0 OR Large Angle),0.33798313,0.290519,0.34277564,0.4626344
512,0.9266372420374568,7,((((Angular Velocity Low OR Y Coord Near Ground) AND (NOT Left Leg reach ground)) OR V_y High) AND (NOT Left Leg reach ground)),0.21691127,0.19914226,-0.30517185,0.14955758
433,0.9254,2,(Angle Near 0 OR Large Angle),0.532526,0.49101624,0.46163064,0.5637256
279,0.9251931631936314,4,(((NOT Left Leg reach ground) AND V_x Low) OR V_x High),0.30360833,0.23379117,0.4777848,0.29780883
210,0.9179696616102684,4,((NOT Left Leg reach ground) AND (V_x High OR V_x Low)),0.4975809,0.4324812,0.4448533,0.48716682
329,0.912941416615636,5,((((V_y Low OR Y Coord Near Ground) OR V_y Upward) OR Large Angle) OR Angular Velocity High),0.32176262,0.44743004,0.6067215,0.3438651
243,0.9069044994488424,5,((((Angular Velocity Low OR X Coord In Center) OR V_x Low) OR V_y Upward) OR Y Coord Far From Ground),0.35839462,0.44126356,0.49216622,0.24841778
954,0.8965280165005156,5,((((NOT Left Leg reach ground) AND V_x Low) OR V_x High) OR Angular Velocity High),0.6279061,0.5793345,0.4948787,0.5264306
162,0.8900807520790647,7,(((((NOT Right Leg reach ground) AND V_x Low) OR Y Coord Far From Ground) OR Large Angle) AND (NOT Left Leg reach ground)),0.39804372,0.35681885,0.3981585,0.4317679
607,0.8799530065150059,6,((((Angle Near 0 OR Angular Velocity High) OR V_x High) OR Right Leg reach ground) AND (NOT X Coord Outside Wider Center)),0.344569,0.43527514,0.36219445,0.39397794
921,0.8709875910163061,3,((Angular Velocity Low OR X Coord In Center) OR Y Coord Far From Ground),0.5474588,0.46910802,0.5076471,0.57432693
115,0.8703027447284721,7,((((NOT Left Leg reach ground) AND (V_y Low OR X Coord In Center)) OR V_x High) AND (NOT Left Leg reach ground)),0.36926186,0.34498292,0.52384937,0.4336364
19,0.8649075003585257,4,((NOT V_y High) AND (V_y Upward OR Y Coord Near Ground)),0.41633222,0.4869934,0.48829874,0.6171194
272,0.864281067013663,4,((NOT Left Leg reach ground) AND (V_y High OR V_y Low)),0.4227203,0.5292739,0.43848154,0.37241185
786,0.8565303774966014,3,((V_x Low OR Y Coord Near Ground) OR Large Angle),0.3448872,0.23436399,0.34992778,0.20753181
686,0.8447355652595827,6,(((((NOT V_y High) AND V_x Low) OR Y Coord Near Ground) AND V_x Low) OR V_y Upward),0.043466847,0.025503201,-0.36871746,-0.024427861
744,0.8351385128098313,6,((((V_y Low OR V_y Upward) OR Y Coord Near Ground) AND (NOT X Coord Outside Wider Center)) OR Large Angle),0.2835869,0.12150742,0.3541281,0.059792474
236,0.833810531557326,4,((NOT Left Leg reach ground) AND (V_y Low OR V_y Upward)),0.65423054,0.56388724,0.53199214,0.4947898
372,0.8271453159577083,5,((((Left Leg reach ground OR V_y High) AND Angle Near 0) AND Angular Velocity Low) OR V_y High),0.20827976,0.06759336,0.39701504,0.11842231
14,0.8232203564438034,3,((Angular Velocity Low OR X Coord In Center) OR Y Coord Far From Ground),0.371195,0.2562843,0.563142,0.41000473
283,0.8216332378223495,6,((((V_y High OR Y Coord Near Ground) AND Angle Near 0) OR Left Leg reach ground) AND (NOT X Coord Outside Wider Center)),0.34168682,0.331197,0.577673,0.543175
463,0.8145324597974986,6,((((NOT Left Leg reach ground) AND V_x Low) OR V_x High) AND (NOT Left Leg reach ground)),-0.17615096,-0.060199965,-0.73422474,-0.4465259
540,0.8129900872910194,4,(((NOT V_y High) AND Y Coord Near Ground) OR V_y Upward),0.85197204,0.7171493,0.63156044,0.6871216
378,0.8064516129032258,3,((NOT Left Leg reach ground) AND V_y Low),0.5945659,0.5802829,0.46128064,0.50281954
519,0.8051610105171852,4,(((X Coord In Center OR Y Coord Far From Ground) OR V_y High) OR V_x High),0.61128014,0.5742468,0.49086773,0.6326949
821,0.7841433132316424,6,((((X Coord In Center AND Y Coord Near Ground) AND Angle Near 0) OR Angular Velocity High) AND (NOT V_y High)),0.43454283,0.457138,0.6003342,0.5338951
239,0.7819997564243089,6,(((((NOT Right Leg reach ground) AND V_y Low) OR V_x High) OR Large Angle) OR Y Coord Far From Ground),-0.2506785,-0.17100048,-0.11173819,-0.21594061
694,0.7779605263157895,4,(((Left Leg reach ground AND Right Leg reach ground) AND V_x Low) AND X Coord In Center),0.07344365,0.35473147,-0.3160092,0.10466033
809,0.7526828050910906,7,(((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) OR Y Coord Far From Ground) OR Angular Velocity High),-0.21084738,-0.21977375,-0.623859,-0.29183087
753,0.7391178177597214,6,(((((NOT Right Leg reach ground) AND V_y Low) OR Y Coord Far From Ground) AND Angular Velocity Low) OR Y Coord Far From Ground),0.3588404,0.49097803,0.24374983,0.48165187
