w_nothing top 20:
  neuron  w_nothing
    334   0.853026
    340   0.774526
    285   0.753121
     97   0.729483
     22   0.637221
    261   0.623300
    492   0.591344
    204   0.577547
    199   0.576389
    214   0.573277
    217   0.560498
    236   0.560417
    176   0.557504
    431   0.503853
     84   0.483856
    411   0.478473
     29   0.476960
    476   0.463430
     82   0.456559
      7   0.444723
w_left top 20:
  neuron   w_left
    334 0.898992
    340 0.898120
     97 0.768289
     22 0.741634
    497 0.695719
    261 0.634921
    199 0.621183
    285 0.611299
    204 0.600956
    236 0.597153
    214 0.562913
    463 0.539435
    476 0.533435
     84 0.522524
    492 0.512934
    176 0.501393
    217 0.481185
    411 0.454768
     29 0.445711
     82 0.445090
w_main top 20:
  neuron   w_main
    214 0.763947
    334 0.720255
    410 0.661695
    285 0.635216
    261 0.632119
    176 0.631826
    340 0.628888
    199 0.627777
    204 0.611104
    217 0.609135
     97 0.573720
     22 0.560417
     84 0.549353
     82 0.523944
     29 0.517759
     31 0.513946
    411 0.505528
    386 0.477830
    405 0.473102
    236 0.452746
w_right top 20:
  neuron  w_right
    334 0.937591
    340 0.900237
    204 0.705586
     22 0.698077
    261 0.687456
    214 0.647149
     97 0.639905
    199 0.586144
    285 0.575008
    236 0.563514
    176 0.551747
    492 0.533138
     31 0.518882
    217 0.499784
     84 0.492413
    476 0.489288
     82 0.478969
    431 0.478932
    410 0.446995
    386 0.430181
