neuron,iou,feature_length,best lab
113,0.8931714719271624,1,Angle Near 0
41,0.8899,1,V_x Low
80,0.8830787309048178,1,Left Leg reach ground
122,0.8633885622661678,1,Angular Velocity Low
63,0.8612982241273729,1,Angle Near 0
59,0.8585173182094389,1,Angle Near 0
22,0.8507790442329812,1,V_x Low
3,0.8475760065735415,1,V_y High
79,0.8161157024793388,1,Right Leg reach ground
96,0.813474212783764,1,V_x Low
93,0.7897371714643304,1,Angle Near 0
104,0.7859798194370685,1,Y Coord Far From Ground
75,0.7738432483474976,1,Left Leg reach ground
81,0.7694026515715775,1,Y Coord Near Ground
109,0.7543231961836613,1,Left Leg reach ground
105,0.7345827662024919,1,V_x Low
37,0.7308557352468673,1,V_y Low
124,0.730617046305208,1,Angle Near 0
89,0.7068672926801675,1,Angular Velocity Low
8,0.6809750927397986,1,Y Coord Far From Ground
43,0.6528077753779697,1,Y Coord Far From Ground
107,0.617706013363029,1,V_y Low
44,0.6138482023968043,1,V_y High
26,0.6104880266747499,1,Y Coord Far From Ground
90,0.6074001309757695,1,Angular Velocity Low
32,0.594392523364486,1,Right Leg reach ground
9,0.5888790298728187,1,Y Coord Far From Ground
125,0.5845945945945946,1,Y Coord Far From Ground
14,0.5742971887550201,1,Y Coord Far From Ground
46,0.5297385620915033,1,Left Leg reach ground
23,0.5248630425621577,1,V_x Low
49,0.520065642249739,1,Y Coord Near Ground
0,0.4976324356318437,1,Y Coord Near Ground
86,0.4752739117559964,1,Y Coord Far From Ground
19,0.4616858237547893,1,V_x Low
17,0.440884820747521,1,V_y High
4,0.4406011941527692,1,Y Coord Far From Ground
78,0.4184081814139617,1,Y Coord Far From Ground
34,0.3991778944964604,1,Y Coord Far From Ground
70,0.3497260457035948,1,Y Coord Near Ground
110,0.3215767634854772,1,Y Coord Near Ground
5,0.3161120840630473,1,Y Coord Far From Ground
40,0.3084311632870864,1,Angular Velocity High
10,0.3075,1,Angular Velocity High
82,0.304451287793953,1,Y Coord Near Ground
11,0.2989575577066269,1,Large Angle
94,0.2932141859815694,1,Y Coord Far From Ground
61,0.288076923076923,1,V_y High
55,0.2823188405797101,1,Y Coord Far From Ground
102,0.245224344735673,1,Angular Velocity High
74,0.2307005800981704,1,Angular Velocity High
99,0.2077727952167414,1,Angular Velocity High
111,0.206060606060606,1,Large Angle
28,0.1165783497350492,1,V_y High
