neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
0,0.0,1,Null,-0.01963578,-0.0031687564,0.013198203,0.0072479513
1,0.0,1,Null,-0.03766695,-0.07154844,0.021440566,0.04101434
5,0.0,1,Null,0.029746497,0.0036245196,0.008907754,0.01873479
6,0.0,1,Null,-0.039023273,-0.04416109,-0.32479528,-0.25603458
10,0.0,1,Null,-0.029642055,0.018674405,-0.09238284,-0.10497876
11,0.0,1,Null,-0.3187245,-0.3106353,-0.25315255,-0.16122657
12,0.0,1,Null,-0.12950343,0.07994029,-0.011316945,0.12794887
13,0.0,1,Null,-0.029070267,-0.007583798,-0.039896157,-0.09604335
14,0.0,1,Null,-0.012463839,-0.028590089,-0.104475394,-0.09733116
15,0.0,1,Null,-0.037628546,-0.010344724,-0.00040706404,0.0062030954
16,0.0,1,Null,-0.01838957,0.0071984446,0.006426629,-0.019724134
17,0.0,1,Null,0.030051649,-0.03461331,0.009138548,-0.04176779
18,0.0,1,Null,-0.029593868,-0.06587643,-0.082256466,-0.06420753
19,0.0,1,Null,-0.008302122,-0.026110444,-0.05428248,0.024611324
20,0.0,1,Null,-0.010702467,0.01653445,0.004743239,0.028870674
21,0.0,1,Null,-0.07598458,0.0323718,-0.08496099,-0.0031129338
23,0.0,1,Null,-0.055080704,-0.06131982,-0.15370248,-0.05848254
24,0.0,1,Null,-0.03078925,-0.06153244,-0.0813649,-0.046557818
25,0.0,1,Null,-0.029224256,0.012694765,0.006368248,-0.009899871
26,0.0,1,Null,-0.0077178744,-0.040918075,-0.14998104,-0.06483447
27,0.0,1,Null,-0.0019779445,-0.022416703,-0.027249034,0.016013056
28,0.0,1,Null,-0.010745458,-0.0033037274,0.028904147,-0.010639538
2,0.3588294944227148,4,(((NOT V_y Upward) AND Angle Near 0) AND Angular Velocity Low),-0.46674535,-0.32640654,-0.3072033,-0.49841973
30,0.0,1,Null,-0.01801659,-0.044573903,-0.09543263,-0.11172433
4,0.6684782608695652,5,(((Left Leg reach ground OR Right Leg reach ground) AND Angular Velocity Low) AND (NOT X Coord Outside Wider Center)),-0.37692112,-0.5288597,-0.69286,-0.33579102
32,0.0,1,Null,-0.012669271,-0.0021361099,0.019974766,0.0026589178
33,0.0,1,Null,0.032059498,-0.01246891,0.01971762,-0.045525845
7,0.9998,2,(V_x High OR V_x Low),0.43492463,0.43543756,0.41830438,0.41247472
35,0.0,1,Null,-0.06059253,-0.39116552,-0.09954839,-0.107757404
36,0.0,1,Null,0.031018913,0.03701806,0.012985185,-0.037841607
37,0.0,1,Null,-0.001621663,-0.04081032,-0.016914103,0.02776553
3,0.7937344053229831,7,(((((NOT Right Leg reach ground) AND Angle Near 0) OR V_x High) AND (NOT V_y Upward)) OR V_y High),-0.24615029,-0.21832627,-0.21236001,-0.21764043
39,0.0,1,Null,-0.07482347,-0.11285949,-0.10926837,-0.037280254
40,0.0,1,Null,-0.013322289,-0.015024464,-0.035021126,-0.016444547
41,0.0,1,Null,-0.024541639,-0.037772816,0.021597646,-0.039159197
42,0.0,1,Null,0.01125094,-0.047575064,-0.007978346,-0.03100575
9,0.6205658783783784,2,(V_y Low OR V_y Upward),-0.016900716,0.02119892,-0.15858063,-0.28851065
44,0.0,1,Null,0.014915378,-0.0983682,-0.05934927,-0.102406956
8,0.16166666666666665,7,(((((NOT X Coord In Center) AND Y Coord Near Ground) AND Angle Near 0) AND (NOT Right Leg reach ground)) AND V_x Low),-0.3038613,-0.50593543,-0.07411003,0.014445561
46,0.0,1,Null,-0.019539384,-0.0032415562,0.029007073,-0.031888474
47,0.0,1,Null,-0.004021275,-0.029505365,0.026409993,0.02622617
48,0.0,1,Null,-0.024965752,-0.014142006,-0.006430195,0.008798322
29,0.9998,2,(V_x High OR V_x Low),0.4685683,0.44418883,0.50423527,0.33803213
50,0.0,1,Null,-0.047826592,-0.052267518,0.035187528,-0.17266603
51,0.0,1,Null,-0.33919555,-0.20020927,-0.6952365,-0.47982717
52,0.0,1,Null,-0.007652697,0.007901822,0.00784247,-0.0590711
53,0.0,1,Null,-0.16486768,-0.24183986,-0.1979212,-0.23821612
54,0.0,1,Null,-0.0022514698,-0.0129625155,0.011436974,-0.008416299
55,0.0,1,Null,0.008302689,0.029165717,0.012291585,-0.04982052
31,0.997,2,(V_x High OR V_x Low),0.40769365,0.38816696,0.49829027,0.5113574
22,0.6372934697088907,4,((NOT V_y Upward) AND (V_y High OR Y Coord Far From Ground)),0.6112599,0.7357045,0.5524949,0.6940718
38,0.3079470198675497,3,((Angular Velocity Low AND Large Angle) AND V_y Low),-0.28786427,-0.33508217,-0.58556724,0.010676415
45,0.20767888307155322,4,(((NOT Left Leg reach ground) AND V_y Upward) AND X Coord In Center),-0.6020559,-0.17079066,-0.25698203,-0.089662135
60,0.0,1,Null,0.04499729,0.05382509,-0.0027856089,0.020877711
61,0.0,1,Null,0.0025766643,0.0006958445,-0.029815834,-0.00086768245
34,0.3831820353559484,3,((V_x Low AND V_y High) AND Angle Near 0),-0.13612345,0.014330237,-0.09086799,-0.33925354
63,0.0,1,Null,-0.048786525,0.023268392,0.015186686,-0.001132724
64,0.0,1,Null,0.00068957923,-0.0016458542,0.0018006465,0.031931676
65,0.0,1,Null,0.019021943,-0.023008263,-0.011184598,0.026063247
66,0.0,1,Null,-0.02143183,-0.068252705,-0.045465223,-0.07119024
43,0.5488872218054514,2,(Angular Velocity Low AND V_y High),-0.20443615,-0.1842007,-0.21660534,-0.16052033
68,0.0,1,Null,-0.010399557,-0.019574896,-0.02537173,-0.09915276
69,0.0,1,Null,-0.03051101,0.030420724,0.006155935,-0.004412431
57,0.6336679536679537,6,((((NOT Left Leg reach ground) AND V_y Low) AND (NOT Right Leg reach ground)) AND Angle Near 0),-0.28076574,-0.09029023,-0.5596379,-0.5790666
56,0.5211686060906164,8,((((NOT Left Leg reach ground) AND (V_y High OR X Coord Outside Wider Center)) AND (NOT V_y Upward)) AND (NOT Right Leg reach ground)),-0.19524556,-0.19873208,-0.23563547,-0.16004738
72,0.0,1,Null,0.013438046,-0.03160697,-0.080241464,-0.1300375
73,0.0,1,Null,0.09570793,0.00883722,0.096574426,-0.1007261
74,0.0,1,Null,-0.08999476,-0.040908508,-0.18387984,-0.19921689
75,0.0,1,Null,-0.00993104,-0.07094103,-0.10464114,-0.07730174
62,0.4677948977014398,5,((((NOT Right Leg reach ground) AND Y Coord Near Ground) AND Angle Near 0) AND V_y Low),-0.26864144,-0.24398285,-0.17511548,-0.30614188
59,0.7370679918680823,6,(((((NOT Left Leg reach ground) AND V_x Low) OR V_x High) OR Large Angle) OR Angular Velocity High),-0.18621756,-0.21586025,-0.03736587,-0.36953938
49,0.7253502155172413,7,(((((NOT Right Leg reach ground) AND Y Coord Near Ground) OR V_y High) OR Large Angle) AND (NOT Left Leg reach ground)),-0.42794862,-0.1883462,-0.24006535,-0.31926477
79,0.0,1,Null,0.026072355,0.010823674,0.027505182,-0.025191821
80,0.0,1,Null,0.032828327,-0.018481364,0.04880825,-0.025435042
81,0.0,1,Null,-0.033691008,-0.02493575,-0.09140368,-0.0942595
71,0.3488681757656458,5,(((NOT Y Coord Far From Ground) AND V_x High) AND (NOT V_y Low)),-0.52438474,-0.053349536,-0.20531382,-0.07344893
83,0.0,1,Null,0.03280582,-0.0032024544,-0.028047696,0.023647126
67,0.7161865569272977,6,(((((NOT Right Leg reach ground) AND V_y Low) OR Y Coord Far From Ground) AND Angle Near 0) OR X Coord Outside Wider Center),-0.29893556,-0.31477663,-0.18420547,-0.26967242
85,0.0,1,Null,0.011542834,0.026374906,0.027252978,0.009082009
86,0.0,1,Null,-0.07211508,-0.08478001,-0.048673227,-0.09527886
87,0.0,1,Null,-0.03194195,-0.043275937,-0.11533691,-0.042394564
88,0.0,1,Null,-0.015232015,-0.0338088,0.008796242,0.043142024
89,0.0,1,Null,0.03295158,-0.027785972,0.035975795,-0.01531889
90,0.0,1,Null,-0.308091,-0.116043,0.19910069,-0.35036528
58,0.7173181465182501,7,(((((NOT Right Leg reach ground) AND V_y Low) OR V_x High) AND (NOT V_y Upward)) OR X Coord Outside Wider Center),-0.24266915,-0.20035517,-0.2063229,-0.21400999
92,0.0,1,Null,-0.03434622,-0.04349075,-0.10196991,-0.10371509
93,0.0,1,Null,0.02737008,-0.034339614,0.03778987,0.019595876
94,0.0,1,Null,-0.4163814,-0.38127238,-0.094825186,-0.80858
95,0.0,1,Null,0.008084803,0.01952961,0.014413669,0.004542805
96,0.0,1,Null,-0.031112645,-0.08084789,-0.06812942,-0.038991082
70,0.7964903728978796,7,(((((NOT Left Leg reach ground) AND V_x Low) OR Y Coord Far From Ground) OR V_y High) AND (NOT Left Leg reach ground)),-0.45503554,-0.6165806,-0.43407184,-0.4335044
98,0.0,1,Null,-0.07212614,-0.07396316,-0.040022638,-0.00795414
99,0.0,1,Null,-0.23734008,-0.18866621,-0.23535535,-0.39473766
100,0.0,1,Null,0.03590609,0.030830901,0.04266504,-0.012491095
77,0.47587075115400757,5,((((NOT Left Leg reach ground) AND Y Coord Near Ground) AND Angle Near 0) AND V_x Low),-0.3109325,-0.524995,-0.337058,-0.513656
102,0.0,1,Null,-0.034265,-0.027645193,-0.047430456,-0.13065219
103,0.0,1,Null,-0.22181438,-0.2548383,-0.25012305,-0.2509763
104,0.0,1,Null,-0.020208683,0.0077126008,-0.0021092133,0.0015923162
105,0.0,1,Null,0.01431095,0.012969365,0.0141391745,-0.024708724
106,0.0,1,Null,0.047233082,-0.26052237,-0.43636233,-0.013167122
107,0.0,1,Null,-0.008244111,0.013176774,0.025437167,0.01842713
76,0.52869429241595,7,(((((NOT Left Leg reach ground) AND Y Coord Near Ground) OR Large Angle) AND (NOT Left Leg reach ground)) OR X Coord Outside Wider Center),-0.27222463,-0.15220676,-0.2366409,-0.3926449
109,0.0,1,Null,-0.20565608,0.07237881,0.28319517,0.11085945
110,0.0,1,Null,-0.016113514,-0.03346024,-0.10890935,-0.116098754
111,0.0,1,Null,-0.32572502,-0.3164096,-0.38028955,-0.27031508
82,0.9998,2,(V_x High OR V_x Low),0.44899616,0.44213423,0.5090635,0.4722308
113,0.0,1,Null,0.009517858,-0.020754,-0.0014660223,-0.0057082917
114,0.0,1,Null,0.019851718,-0.20249715,-0.24967633,-0.12705812
115,0.0,1,Null,0.039391525,-0.022470629,-0.021012248,-0.012116486
116,0.0,1,Null,-0.0032759542,0.016123397,-0.0335137,0.041065387
117,0.0,1,Null,-0.053274907,-0.38913453,-0.08700434,-0.11835859
118,0.0,1,Null,-0.019862045,0.0067222957,0.017261768,0.016380908
119,0.0,1,Null,-0.0468803,-0.16911559,-0.109885626,-0.12800407
84,0.9626,2,(V_x High OR V_x Low),0.46037546,0.4968603,0.53592867,0.47454077
121,0.0,1,Null,0.035544697,-0.027057173,0.028096559,-0.036478486
78,0.4666881755121794,6,((((V_y Low AND Y Coord Near Ground) OR Left Leg reach ground) OR X Coord Outside Wider Center) AND (NOT V_y High)),-0.41001022,-0.4419047,-0.36990318,-0.32627636
123,0.0,1,Null,-0.09281931,0.058192227,0.20491672,0.032339618
124,0.0,1,Null,0.023957442,-0.02249325,0.021769058,0.046405263
125,0.0,1,Null,0.033629853,0.008855019,0.04094186,-0.029261239
126,0.0,1,Null,0.12556937,-0.12304914,0.060121354,-0.19929026
97,0.8902869238005644,6,((((Angular Velocity Low OR V_x Low) AND (NOT Left Leg reach ground)) OR Y Coord Far From Ground) OR V_y High),0.65366876,0.7015182,0.55488646,0.6075442
128,0.0,1,Null,-0.023494385,0.02074621,0.02318751,-0.046565317
