neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
41,1.0,2,(V_x High OR V_x Low),-0.4209072,-0.60360366,0.38057798,-0.114153095
113,0.9883,2,(Angle Near 0 OR Large Angle),-0.45493385,-0.7954735,-1.4817803,-0.36795145
37,0.9580817051509768,4,((Angular Velocity High OR Angular Velocity Low) AND (NOT Right Leg reach ground)),1.36247,0.96282625,1.304318,1.383729
59,0.952,2,(Angle Near 0 OR Large Angle),1.1514393,1.3637503,1.2267362,1.3975303
63,0.9406,2,(Angle Near 0 OR Large Angle),1.1154307,1.0728718,1.055534,0.81144464
122,0.9152646069134291,5,((((Angular Velocity Low OR V_y Low) OR V_x High) OR Left Leg reach ground) OR Y Coord Far From Ground),1.2229775,1.0120859,1.3242387,1.4092011
96,0.9020288597157426,4,(((V_y High OR Y Coord Near Ground) OR Large Angle) OR X Coord Outside Wider Center),1.8379732,1.8674551,1.8153366,1.8886665
109,0.8945022288261516,3,((Left Leg reach ground AND Right Leg reach ground) AND Angular Velocity Low),-0.4101157,-0.3807997,-0.6218026,-0.89033806
3,0.8919152615650671,2,(Angle Near 0 AND V_y High),-1.0997528,-1.182017,-0.86942095,-1.2421881
22,0.8888424134685768,3,((V_x Low OR Y Coord Near Ground) OR Large Angle),-0.6501477,-0.43678522,-0.38824555,-0.6127223
80,0.8830787309048178,1,Left Leg reach ground,-0.46767342,-0.6648804,-0.82561177,-0.83018285
89,0.8548777210427304,5,(((Angular Velocity Low OR V_x High) AND (NOT Left Leg reach ground)) OR Y Coord Far From Ground),2.109664,2.3083115,1.5051206,1.8902929
93,0.8480327031170158,4,(((V_x Low OR Y Coord Far From Ground) OR V_y Low) OR V_y Upward),0.31426528,0.7133958,-0.5809056,-0.50168556
79,0.8161157024793388,1,Right Leg reach ground,0.098134935,0.3421847,-0.6886274,-1.0410163
105,0.8093869731800766,4,(((V_y High OR Y Coord Near Ground) OR Large Angle) OR V_x High),0.8998713,1.0866803,1.2167559,0.51689434
81,0.7904145476961011,3,((V_x Low AND Y Coord Near Ground) OR Left Leg reach ground),0.38827813,1.0870394,0.40633085,-0.16013701
104,0.7859798194370685,1,Y Coord Far From Ground,-0.49325636,-1.3894503,-0.34307295,0.35049152
107,0.7768123138033763,6,((((NOT Left Leg reach ground) AND (V_x High OR V_y Low)) OR Y Coord Far From Ground) OR X Coord Outside Wider Center),-0.7152727,-0.68382245,-0.6170255,-0.87364084
75,0.7738432483474976,1,Left Leg reach ground,-0.65311927,-0.5050376,-0.5120017,-0.73119706
124,0.767743979721166,5,((((Angle Near 0 OR Angular Velocity High) OR Left Leg reach ground) OR Right Leg reach ground) OR V_y Upward),-0.61843973,-0.48165685,-0.604584,-0.5328506
8,0.7622068965517241,4,((NOT V_y Upward) AND (V_x High OR Y Coord Far From Ground)),2.19704,2.4635203,2.3919024,1.9108431
90,0.750181730070269,5,(((Angular Velocity Low OR X Coord In Center) AND (NOT Left Leg reach ground)) OR Y Coord Far From Ground),0.83323634,1.0256877,1.1667774,0.71089697
43,0.7402933563416738,3,((V_y Low AND Y Coord Far From Ground) OR V_y High),-1.2380813,-0.91459996,-0.76494175,-1.315248
44,0.7191435768261965,7,((((Large Angle OR V_y High) AND (NOT Left Leg reach ground)) AND (NOT V_y Upward)) OR V_y High),-1.0205128,-0.6889813,-1.2570072,-1.0591345
32,0.6790540540540541,7,((((Large Angle OR Right Leg reach ground) AND (NOT X Coord Outside Wider Center)) OR Right Leg reach ground) AND (NOT Y Coord Far From Ground)),-0.040646978,-0.7871868,0.2768936,0.3703759
26,0.6774317570165321,2,(X Coord In Center AND Y Coord Far From Ground),-0.47694075,-0.0050015096,-1.0960814,-0.86469626
46,0.6689884918231375,7,((((Large Angle OR Right Leg reach ground) AND (NOT Y Coord Far From Ground)) OR Left Leg reach ground) AND (NOT V_y High)),-0.6128275,-0.4680794,-0.64933616,-0.44122213
49,0.6272549975621649,5,(((Angular Velocity High OR Left Leg reach ground) OR Right Leg reach ground) AND (NOT Y Coord Far From Ground)),-0.7529818,-0.4255886,-0.32112077,-0.6274539
9,0.6239441792141021,2,(X Coord In Center AND Y Coord Far From Ground),-0.9542656,-1.0404605,-0.34942296,-0.9070763
19,0.6143980140670252,7,((((NOT Left Leg reach ground) AND (V_y High OR Y Coord Near Ground)) AND (NOT Right Leg reach ground)) OR V_y High),-0.017480701,-0.20316434,0.74801266,-0.19488783
0,0.5874579529072561,5,(((Left Leg reach ground OR Right Leg reach ground) OR Angular Velocity High) AND (NOT Y Coord Far From Ground)),-0.06762751,-0.49408767,-0.77746034,0.348552
125,0.5845945945945946,1,Y Coord Far From Ground,-1.0466474,-0.91102093,-0.3487973,-0.935347
14,0.5742971887550201,1,Y Coord Far From Ground,-0.5928181,0.30802608,0.35710204,-1.1379968
23,0.5594616311771796,4,(((Angular Velocity Low OR Y Coord Near Ground) OR X Coord Outside Wider Center) OR V_y Upward),-0.7790235,-0.80418783,-0.44036573,-0.61867607
4,0.5042929735412651,7,((((Angular Velocity High OR Y Coord Far From Ground) OR Large Angle) AND (NOT Right Leg reach ground)) AND (NOT Left Leg reach ground)),1.1615286,0.9511207,1.0598861,1.4238703
17,0.4855416486836426,3,((V_y High AND Y Coord Far From Ground) AND Angle Near 0),-0.64368707,-0.50802046,-1.2354587,-0.75769734
78,0.4838420107719928,6,((((NOT Left Leg reach ground) AND (Right Leg reach ground OR Y Coord Far From Ground)) OR X Coord Outside Wider Center) OR Angular Velocity High),-0.6209837,-0.43147892,-0.874981,-0.4377642
86,0.4808184143222506,3,((NOT V_y High) AND Y Coord Far From Ground),-0.61665845,-0.9421226,-1.2601749,-0.8789103
94,0.4712722298221614,4,(((NOT V_y High) AND Y Coord Far From Ground) AND X Coord In Center),-1.1104003,-0.61547184,-1.2761143,-1.1928216
55,0.4476885644768856,4,(((X Coord In Center AND Y Coord Far From Ground) AND V_y Low) AND Angular Velocity Low),-0.7646911,-0.94195473,-1.2115076,-0.3671816
111,0.4476595744680851,4,(((NOT X Coord In Center) AND Y Coord Far From Ground) AND V_y Low),-1.4309113,-1.0189838,-1.0272025,-1.7620124
10,0.4344400675295441,7,(((((NOT Right Leg reach ground) AND Left Leg reach ground) OR Angular Velocity High) AND (NOT Right Leg reach ground)) AND Y Coord Near Ground),-0.6847253,-0.73837405,-0.98790455,-0.8489222
110,0.433319397993311,7,((((NOT Left Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y High)) AND (NOT X Coord Outside Wider Center)),0.8698446,0.6480476,-1.0619565,0.42346692
34,0.4264774313634248,5,(((Angle Near 0 AND Y Coord Far From Ground) OR X Coord Outside Wider Center) AND (NOT Left Leg reach ground)),-0.86116314,-0.8599512,-0.38257357,-0.9601529
5,0.4240331491712707,3,((X Coord In Center AND Y Coord Far From Ground) AND V_y Low),-0.9629438,-0.96317565,-0.76463544,-0.7926585
11,0.4172679771087335,6,((((Large Angle OR V_y High) OR X Coord Outside Wider Center) AND (NOT Left Leg reach ground)) OR V_y High),-0.36881664,-0.9803171,-0.4208479,-0.52137065
82,0.3873989713445995,8,(((((NOT Right Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y Upward)) OR Angular Velocity High) AND (NOT Y Coord Far From Ground)),-1.0589722,-1.6372336,-0.5043006,-1.046933
70,0.3692205344273201,3,((V_y High OR Y Coord Near Ground) OR X Coord Outside Wider Center),1.5844717,1.7757856,1.819382,1.7552114
61,0.3420560747663551,2,(V_x Low AND V_y High),-1.3616453,-1.8935622,-1.8883531,-1.4861875
40,0.3296903460837887,4,(((NOT Left Leg reach ground) AND Angular Velocity High) AND Y Coord Near Ground),-0.72397417,-0.5236556,-1.2595239,-1.2103672
74,0.2925170068027211,7,((((NOT Y Coord Far From Ground) AND Large Angle) AND (NOT X Coord Outside Wider Center)) AND (NOT Left Leg reach ground)),1.0014219,0.7911412,1.3916465,0.78607345
99,0.2772556390977443,6,((((NOT Angle Near 0) AND Angular Velocity High) OR X Coord Outside Wider Center) AND (NOT Y Coord Far From Ground)),-1.0803248,-0.6163667,-0.64315486,-0.42008215
102,0.2480690595184007,3,((NOT Y Coord Far From Ground) AND Angular Velocity High),-0.5316259,-0.3753847,-0.8438685,-0.98177916
28,0.1614457831325301,7,((((NOT Angular Velocity Low) AND Large Angle) AND (NOT Y Coord Far From Ground)) AND (NOT X Coord Outside Wider Center)),-1.1234667,-0.8421234,-1.3737836,-0.8854285
