#{"t_start": 1734366089.1383944, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,0.705796
-1.0,1,0.70713
-1.0,2,0.709141
-1.0,1,0.710124
-1.0,2,0.711848
1.0,1,0.712741
-1.0,1,0.713703
1.0,1,0.714478
-1.0,1,0.715318
-1.0,1,0.716209
-1.0,1,0.717091
-1.0,2,0.718676
-1.0,1,0.719445
1.0,1,0.720298
-1.0,3,0.722506
1.0,2,0.724081
1.0,1,0.724827
1.0,3,0.726888
-1.0,2,0.728322
1.0,1,0.729076
-1.0,1,0.729843
-1.0,2,0.760073
-1.0,1,0.761758
-1.0,1,0.762657
1.0,1,0.763853
-1.0,1,0.764681
-1.0,1,0.765687
-1.0,1,0.76666
-1.0,3,0.769726
-1.0,1,0.770748
1.0,1,0.7716
0.0,4,0.77548
-1.0,1,0.776359
1.0,2,0.777864
-1.0,1,0.77897
1.0,1,0.780033
-1.0,2,0.78216
1.0,2,0.78392
1.0,2,0.785553
-1.0,1,0.786406
1.0,1,0.787294
-1.0,1,0.788101
0.0,1,0.788885
-1.0,1,0.79057
-1.0,1,0.791515
-1.0,1,0.792388
-1.0,1,0.793322
-1.0,2,0.794697
-1.0,1,0.795447
-1.0,1,0.796094
1.0,1,0.796785
1.0,1,0.797458
-1.0,1,0.798295
1.0,1,0.799337
-1.0,1,0.800193
1.0,1,0.800875
-1.0,2,0.802474
0.0,1,0.803295
1.0,1,0.808474
1.0,3,0.81137
-1.0,1,0.812505
-1.0,2,0.814665
1.0,1,0.815905
-1.0,1,0.817049
-1.0,1,0.81822
-1.0,1,0.81988
-1.0,1,0.820873
1.0,1,0.821848
-1.0,2,0.824156
1.0,2,0.825881
-1.0,1,0.826645
-1.0,1,0.827469
-1.0,1,0.828351
-1.0,1,0.829134
-1.0,1,0.830023
1.0,1,0.830911
-1.0,2,0.832487
-1.0,2,0.834031
1.0,2,0.835576
-1.0,1,0.836533
-1.0,3,0.838592
-1.0,1,0.839328
-1.0,1,0.839951
-1.0,1,0.840673
-1.0,1,0.841318
-1.0,2,0.843365
1.0,2,0.845214
1.0,1,0.846198
-1.0,1,0.847049
1.0,2,0.848817
1.0,1,0.850416
1.0,1,0.851294
-1.0,2,0.852777
-1.0,1,1.072736
-1.0,1,1.074318
-1.0,2,1.076613
-1.0,2,1.083598
1.0,1,1.085174
-1.0,1,1.086799
-1.0,2,1.093544
-1.0,1,1.094376
-1.0,1,1.095165
-1.0,2,1.099181
1.0,2,1.100679
-1.0,1,1.104042
1.0,2,1.105668
1.0,1,1.106482
-1.0,1,1.109654
-1.0,1,1.110503
1.0,2,1.112104
0.0,1,1.115308
-1.0,1,1.116076
-1.0,2,1.124554
-1.0,1,1.133851
-1.0,2,1.136696
-1.0,1,1.138115
-1.0,1,1.142733
-1.0,1,1.14401
-1.0,1,1.144907
-1.0,1,1.145939
-1.0,1,1.150121
1.0,1,1.151094
1.0,1,1.152136
-1.0,1,1.153087
1.0,2,1.157855
1.0,1,1.15889
-1.0,1,1.159584
1.0,2,1.164286
1.0,1,1.165279
-1.0,2,1.174888
1.0,2,1.178172
-1.0,1,1.179313
-1.0,1,1.185943
1.0,2,1.190211
1.0,1,1.191732
-1.0,2,1.199476
1.0,1,1.201276
1.0,3,1.209442
-1.0,1,1.21181
1.0,1,1.213375
-1.0,1,1.218048
1.0,1,1.21903
-1.0,3,1.232579
-1.0,1,1.234108
-1.0,2,1.237263
1.0,1,1.24132
1.0,1,1.242587
-1.0,1,1.243783
-1.0,2,1.248832
1.0,1,1.250061
-1.0,5,1.26261
1.0,1,1.263823
-1.0,1,1.26819
1.0,2,1.270936
-1.0,2,1.277334
-1.0,1,1.280118
-1.0,3,1.285867
-1.0,1,1.286864
-1.0,1,1.287785
-1.0,1,1.288578
-1.0,1,1.292125
-1.0,1,1.292862
-1.0,1,1.293761
1.0,1,1.294656
-1.0,2,1.299073
-1.0,1,1.299869
-1.0,1,1.300742
1.0,1,1.304064
-1.0,1,1.304931
-1.0,1,1.305867
-1.0,1,1.306801
-1.0,1,1.310261
-1.0,1,1.311268
-1.0,1,1.312108
-1.0,2,1.316448
0.0,1,1.317187
1.0,1,1.318103
1.0,1,1.319001
-1.0,4,1.327636
-1.0,1,1.341291
-1.0,1,1.342818
1.0,1,1.343787
