Episode: 0, Score: -224.49, 100 score avg: -224.49
Episode: 256, Score: -320.68, 100 score avg: -188.92
Episode: 512, Score: -348.21, 100 score avg: -149.79
Episode: 768, Score: -187.46, 100 score avg: -116.30
Episode: 1024, Score: -271.27, 100 score avg: -115.32
Episode: 1280, Score:  -89.19, 100 score avg:  -47.64
Episode: 1536, Score:   39.30, 100 score avg:  -71.98
Episode: 1792, Score:  -25.57, 100 score avg:  -19.76
Episode: 2048, Score:  -49.82, 100 score avg:    0.72
Episode: 2304, Score:   28.63, 100 score avg:    6.52
Episode: 2560, Score:   54.51, 100 score avg:   20.19
Episode: 2816, Score:   26.26, 100 score avg:   18.97
Episode: 3072, Score:  -27.17, 100 score avg:   10.74
Episode: 3328, Score:   -7.19, 100 score avg:    2.75
Episode: 3584, Score:   43.14, 100 score avg:    5.88
Episode: 3840, Score:  -86.19, 100 score avg:    4.39
Episode: 4096, Score:   35.39, 100 score avg:   26.65
Episode: 4352, Score:   69.81, 100 score avg:    8.45
Episode: 4608, Score:   54.76, 100 score avg:   26.64
Episode: 4864, Score:   30.82, 100 score avg:   33.18
Episode: 5120, Score:   51.37, 100 score avg:   42.56
Episode: 5376, Score:   39.47, 100 score avg:   27.88
Episode: 5632, Score:   84.99, 100 score avg:   55.37
Episode: 5888, Score:  -28.76, 100 score avg:  -99.92
Episode: 6144, Score:   37.86, 100 score avg:   46.54
Episode: 6400, Score:   37.12, 100 score avg:   54.19
Episode: 6656, Score:   32.28, 100 score avg:   69.97
Episode: 6912, Score:   57.60, 100 score avg:   71.97
Episode: 7168, Score:   71.27, 100 score avg:   63.74
Episode: 7424, Score:   67.55, 100 score avg:   68.82
Episode: 7680, Score:   54.05, 100 score avg:   70.17
Episode: 7936, Score:  105.41, 100 score avg:   71.61
Episode: 8192, Score:   81.45, 100 score avg:   71.06
Episode: 8448, Score:  110.28, 100 score avg:   67.23
Episode: 8704, Score:   97.38, 100 score avg:   74.49
Episode: 8960, Score:   54.02, 100 score avg:   70.03
Episode: 9216, Score:   79.78, 100 score avg:   74.77
Episode: 9472, Score:   87.23, 100 score avg:   81.71
Episode: 9728, Score:   71.45, 100 score avg:   74.76
Episode: 9984, Score:   51.00, 100 score avg:   90.20
Episode: 10240, Score:   39.92, 100 score avg:   81.22
Episode: 10496, Score:  102.75, 100 score avg:   81.25
Episode: 10752, Score:   96.14, 100 score avg:   89.76
Episode: 11008, Score:   83.30, 100 score avg:   96.53
Episode: 11264, Score:  127.83, 100 score avg:   98.31
Episode: 11520, Score:   92.71, 100 score avg:  100.72
Episode: 11776, Score:  144.28, 100 score avg:  106.08
Episode: 12032, Score:  131.50, 100 score avg:  102.11
Episode: 12288, Score:   85.75, 100 score avg:  100.93
Episode: 12544, Score:  107.65, 100 score avg:  105.57
Episode: 12800, Score:  109.66, 100 score avg:  109.64
Episode: 13056, Score:  144.17, 100 score avg:  112.13
Episode: 13312, Score:   97.01, 100 score avg:  109.09
Episode: 13568, Score:  124.71, 100 score avg:  107.61
Episode: 13824, Score:   86.77, 100 score avg:   70.61
Episode: 14080, Score:   98.04, 100 score avg:  104.12
Episode: 14336, Score:   99.16, 100 score avg:  108.12
Episode: 14592, Score:  135.88, 100 score avg:   99.36
Episode: 14848, Score:   84.07, 100 score avg:  104.28
Episode: 15104, Score:  107.50, 100 score avg:  104.03
Episode: 15360, Score:   39.88, 100 score avg:  111.09
Episode: 15616, Score:  116.18, 100 score avg:  115.46
Episode: 15872, Score:  102.64, 100 score avg:  115.89
Episode: 16128, Score:  254.22, 100 score avg:  126.97
Episode: 16384, Score:  150.12, 100 score avg:  125.47
Episode: 16640, Score:   92.63, 100 score avg:  145.52
Episode: 16896, Score:  289.98, 100 score avg:  128.40
Episode: 17152, Score:  219.84, 100 score avg:  138.12
Episode: 17408, Score:  127.85, 100 score avg:  141.62
Episode: 17664, Score:  108.50, 100 score avg:  144.31
Episode: 17920, Score:  113.88, 100 score avg:  153.26
Episode: 18176, Score:  108.74, 100 score avg:  151.72
Episode: 18432, Score:  117.01, 100 score avg:  148.14
Episode: 18688, Score:  168.26, 100 score avg:  163.10
Episode: 18944, Score:  130.01, 100 score avg:  163.39
Episode: 19200, Score:  130.77, 100 score avg:  154.82
Episode: 19456, Score:  116.67, 100 score avg:  162.81
Episode: 19712, Score:  -10.91, 100 score avg:  150.40
